Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method
Female,Young Adults,Yes,0,7,47,No Offer,Yes,11.68,Yes,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal
Male,Old Adults,Yes,0,1,1,Offer E,Yes,49.6,No,Fiber Optic,13.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card
Female,Middle-aged Adults,Yes,0,1,17,Offer D,Yes,21.15,Yes,Fiber Optic,4.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,4,64,No Offer,Yes,6.59,Yes,Cable,20.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal
Female,Young Adults,Yes,0,>=10,41,Offer B,Yes,25.16,No,DSL,11.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card
Male,Old Adults,Yes,0,9,61,No Offer,Yes,34.24,Yes,DSL,20.0,No,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal
Female,Middle-aged Adults,Yes,>=3,3,22,Offer D,Yes,4.67,Yes,Fiber Optic,58.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Old Adults,Yes,0,1,71,Offer A,Yes,46.82,Yes,Fiber Optic,18.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal
Female,Middle-aged Adults,Yes,2,1,68,Offer A,Yes,15.94,Yes,Fiber Optic,29.0,No,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,39,No Offer,Yes,29.79,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Male,Old Adults,No,0,0,1,Offer E,Yes,14.12,No,Cable,24.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,1,No Offer,Yes,22.82,No,Cable,27.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,9,7,No Offer,Yes,35.42,No,Fiber Optic,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,No,0,0,2,No Offer,Yes,48.66,No,Fiber Optic,21.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,6,No Offer,Yes,2.6,No,Fiber Optic,22.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal
Female,Young Adults,Yes,2,1,70,Offer A,Yes,48.44,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,5,70,No Offer,Yes,31.13,Yes,Fiber Optic,16.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,3,59,No Offer,Yes,16.06,No,DSL,4.0,Yes,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Credit Card
Male,Old Adults,Yes,1,6,69,No Offer,Yes,12.02,No,Fiber Optic,30.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card
Female,Old Adults,Yes,1,1,12,Offer D,No,0.0,No,DSL,14.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check
Male,Middle-aged Adults,Yes,0,3,69,Offer A,Yes,30.86,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Male,Old Adults,No,0,0,55,Offer B,Yes,8.93,Yes,Fiber Optic,21.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,8,No Offer,Yes,11.46,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Male,Young Adults,Yes,0,1,66,No Offer,Yes,25.83,Yes,Fiber Optic,24.0,No,Yes,Yes,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal
Male,Young Adults,No,0,0,21,No Offer,Yes,3.26,Yes,Fiber Optic,51.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card
Male,Young Adults,Yes,0,0,1,Offer E,Yes,23.06,No,Fiber Optic,52.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,14,No Offer,Yes,1.19,Yes,Fiber Optic,23.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Old Adults,No,0,0,52,No Offer,No,0.0,No,DSL,23.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal
Female,Young Adults,Yes,0,1,5,No Offer,Yes,14.9,Yes,DSL,4.0,No,No,Yes,Yes,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal
Male,Young Adults,No,0,0,12,Offer D,Yes,13.88,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,17,No Offer,Yes,42.66,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Mailed Check
Male,Young Adults,Yes,>=3,5,40,Offer B,Yes,13.86,Yes,DSL,75.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Old Adults,Yes,0,8,72,Offer A,Yes,26.98,Yes,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card
Female,Middle-aged Adults,Yes,0,6,57,No Offer,Yes,44.86,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal
Female,Old Adults,No,0,0,26,Offer C,Yes,40.14,No,Fiber Optic,4.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,47,No Offer,Yes,3.49,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Female,Old Adults,Yes,0,5,45,No Offer,Yes,40.85,No,Fiber Optic,24.0,No,No,Yes,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal
Male,Young Adults,Yes,0,1,23,Offer D,Yes,19.2,Yes,Fiber Optic,7.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Old Adults,No,0,0,71,No Offer,Yes,25.61,Yes,Fiber Optic,23.0,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal
Male,Middle-aged Adults,Yes,>=3,3,54,No Offer,Yes,19.7,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Male,Middle-aged Adults,Yes,0,1,53,Offer B,Yes,47.55,Yes,DSL,13.0,Yes,No,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal
Male,Middle-aged Adults,Yes,2,9,58,No Offer,Yes,35.35,No,DSL,29.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card
Female,Middle-aged Adults,Yes,0,1,25,Offer C,Yes,8.91,Yes,Fiber Optic,10.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
